91,METHOD_RETURN,void,,,BY_VALUE,,0,void
97,METHOD_RETURN,void,,,BY_VALUE,,0,void
289,METHOD_RETURN,_IO_FILE*,,_IO_FILE*,BY_VALUE,,0,_IO_FILE*
294,METHOD_RETURN,i32,,,BY_VALUE,,0,i32
299,METHOD_RETURN,i32,,,BY_VALUE,,0,i32
304,METHOD_RETURN,i32,,,BY_VALUE,,0,i32
309,METHOD_RETURN,i32,,,BY_VALUE,,0,i32
356,METHOD_RETURN,RET,,,BY_VALUE,,2,ANY
361,METHOD_RETURN,RET,,,BY_VALUE,,2,ANY
366,METHOD_RETURN,RET,,,BY_VALUE,,2,ANY
370,METHOD_RETURN,RET,,,BY_VALUE,,2,ANY
375,METHOD_RETURN,RET,,,BY_VALUE,,2,ANY
380,METHOD_RETURN,RET,,,BY_VALUE,,2,ANY
385,METHOD_RETURN,RET,,,BY_VALUE,,2,ANY
390,METHOD_RETURN,RET,,,BY_VALUE,,2,ANY
395,METHOD_RETURN,RET,,,BY_VALUE,,2,ANY
400,METHOD_RETURN,RET,,,BY_VALUE,,2,ANY
405,METHOD_RETURN,RET,,,BY_VALUE,,2,ANY
410,METHOD_RETURN,RET,,,BY_VALUE,,2,ANY
